Pantun_ID,Line_1,Line_2,Line_3,Line_4
Pantun_9523,"Gulai pajri si kuih bangkit,",Ayam serama si burung tekukur;,"Yang memberi jangan mengungkit,",Yang menerima ucapkan syukur.
Pantun_9524,"Kail ikan guna joran,",Mata pancing tersangkut sampah;,"Bertukar juadah sesama jiran,",Waktu berbuka rezeki melimpah.
Pantun_9525,"Hiasan kelas bunga dahlia,",Ukiran batu dilukis cermat;,"Sedekah ikhlas amalan mulia,",Saling membantu sesama umat.
Pantun_9526,"Hinggap nuri dipohon pulasan,",Cantik terserlah kicau berbalas;,"Usah memberi harap balasan,",Cukup Allah menilai ikhlas.
Pantun_9527,"Cantik berseri dadanan dihias,",Indah bercahaya bak bidadari;,"Andai memberi biarlah ikhlas,",Syukur hadir nun disanubari.
Pantun_9528,"Tangan kanan yang memberi,",Tangan kiri disorokkan;,"Ikhlas sembunyi di dalam diri,",Reda illahi nan dihajatkan.
Pantun_9529,"Niat memberi biarlah rahsia,",Budi bahasa ikhlas dalam hati;,"Bertuah hidup di malaysia,",Negara aman rakyat murah hati.
Pantun_9530,"Dimakan olih siburung tekukur,",Tekukur dijerat olih Pak Dolah;,"Banyakkan sedekah jgn takbur,",Semoga amalan diberkati Allah.
Pantun_9531,"Pulau Pandan jauh ke tengah,",Gunung Tahan megah di persada;,"Hadirnya Ramadhan penuh barakah,",Setiap amalan pahala berganda.
Pantun_9532,"Terbang rerama di dedaun lebat,",Di celahan duri tersangkut melekat;,"Syukur menerima rezeki didapat,",Rezeki pemberi bertambah berkat.
Pantun_9533,"Buah kurma dari Mekah,",Hendak disimpan dalam peti;,"Bulan Ramadhan banyakkan bersedekah,",Amalan mulia lagi diberkati.
Pantun_9534,"Atur sambungan merentas jeti,",Sebelum malam papan diukur;,"Hulur sumbangan seikhlas hati,",Senyum bersulam ucapan syukur.
Pantun_9535,"Dimakan sama burung tekukur,",Berkongsi rakan burung kenari;,"Tangan terima mengucap syukur,",Allah gandakan rezeki pemberi.
Pantun_9536,"Bulan ramadhan bulan mulia,",Bulan berkat beribu pahala;,"Bersedekah amalan mulia,",Moga beroleh berlipat pahala.
Pantun_9537,"Kias berkias bersama-sama,",Gelak ketawa mengilai-ngilai;,"Ikhlas memberi ikhlas juga diterima,",Selebihnya Allah juga yang menilai.
Pantun_9538,"Tertusuk duri kala meniti,",Bawa serama tuju pesara;,"Kalau memberi setulus hati,",Yang menerima pasti gembira.
Pantun_9539,"Manis bersari nangka seulas,",Buang empulur dimakan lembu;,"Bila memberi biarlah ikhlas,",Kanan menghulur kiri tak tahu.
Pantun_9540,"Harum melati dihinggap kenari,",Pohonnya tinggi di hujung desa;,"Ikhlaskan hati tatkala memberi,",Cukup bersaksi Yang Maha Esa.
Pantun_9541,"Cantik berjalur warna kelabu,",Kebaya nyonya indah terserlah;,"Sedekah dihulur sekadar termampu,",Walau hanya sebesar zarah.
Pantun_9542,"Nangka seulas dibuat pengat,",Kesedapan terasa lahir Alhamdulillah;,"Sedekah ikhlas selalu diingat,",Semoga sentiasa diberkati Allah.
Pantun_9543,"Lemah dan lembut tekukur menari,",Takut tersungkur geraknya perlahan;,"Penghargaan disebut pada pemberi,",Menzahirkan syukur kepada Tuhan.
Pantun_9544,"Seri Rama mitos handalan,",Dipuja namanya Raja ternama;,"Memberi menerima aturan kehidupan,",Khazanah dunia kita kongsi bersama.
Pantun_9545,"Manis bersari nangka seulas,",Dimakan sama burung tekukur;,"Wajah berseri tanda ikhlas,",Langkah diayun tidaklah tersungkur.
Pantun_9546,"Manis masam sibuah markisa,",Colek dengan kicap pekat;,"Orang memberi kita merasa,",Jiran sepakat membawa berkat.
Pantun_9547,"Longan dan ceri bawa ke Daik,","Gaul delima kelapa kukur,","Tangan memberi tentulah baik,",Kiri terima ucaplah syukur.
Pantun_9548,"Pohon berangan si pokok leban,",Daunnya layu jarang berbuah;,"Hulurkan tangan ringankan beban,",Saling membantu pererat ukhuwah.
Pantun_9549,"Tepung pelita tampak merekah,",Enak terperi menambat hati;,"Ikhlas mulia amalan sedekah,",Dilimpah rezeki moga dirahmati.
Pantun_9550,"Manis bersari nangka seulas,",Dimakan sama si burung tekukur;,"Tangan memberi dengan ikhlas,",Tangan menerima dengan syukur.
Pantun_9551,"Buah limau di dalam dulang,",Dulang berisi cendawan butang;,"Harimau mati tinggalkan belang,",Orang mati selalu tinggalkan hutang.
Pantun_9552,"Minyak sawit dalam peti,",Tampi padi di tepi bukit;,"Banyak duit tak bawa mati,",Tapi rasa mati jika tak berduit.
Pantun_9553,"Tingkap kayu papan bersegi,",Sampan sakat di Pulau Angsa;,"Indah tampan kerana budi,",Tinggi bangsa kerana bahasa.
Pantun_9554,"Teritip tiram tergantung,",Limau manis banyak bijinya;,"Pilih-pilih muda sekampung,",Hitam manis baik budinya.
Pantun_9555,"Merah itu saga yang lorek itu kendi,",Kata bermadah indah bahasanya;,"Mulianya hati sanjungan budi,",Tetap dikenang selama-lamanya.
Pantun_9556,"Pagi pagi meraut lidi,",Duduk bersimpuh di atas upih;,"Ramai orang menanam budi,",Wang dan harta juga yg di pilih.
Pantun_9557,"Bekas pecah merendam padi,",Daun diramas merendang kerang;,"Puas sudah menanam budi,",Namun emas juga dipandang orang.
Pantun_9558,"Bagaimana nak tanam selasih,",Tanamlah mari di rumpun keladi;,"Bagaimana hati nak kasih,",Kasih bercampur denganlah budi.
Pantun_9559,"Tentulah ringgit dipandang orang,",Duit sedikit lagikan dikenang;,"Hutang budi hilang melayang,",Bahasa indah orang tak pandang.
Pantun_9560,"Buku tersusun di atas meja,",Nampak kemas ringan tangan;,"Kekayaan hanya sementara saja,",Budi bahasa jadi sanjungan.
Pantun_9561,"Biar sutera cantik dipandang,",Kasa jua tetap dicari;,"Budi bahasa tetap dipandang,",Ringgit juga tetap dicari.
Pantun_9562,"Burung serindit terbang melayang,",Hinggap sebentar di ranting mati;,"Bukan ringgit di pandang orang,",Amalan dan pahala di bawa mati.
Pantun_9563,"Bunga Mentari kembang cantik,",Jadi hiasan di halaman rumah;,"Berakhlak tinggi berbudi baik,",Lebih murni jika peramah.
Pantun_9564,"Serindit hinggap di pohon mati,",Setelah penat jauhnya terbang;,"Baik budi tinggi pekerti,",Sepanjang masa di kenang orang.
Pantun_9565,"Anak dara pulang ke desa,",Bawa sebakul bunga hiasan;,"Indah budi indahnya bahasa,",Bersopan santun budaya warisan.
Pantun_9566,"Sekawan serindit dari seberang,",Hinggap dibendang memakan padi;,"Bukan ringgit dipandang orang,",Tapi memandang bahasa dan budi.
Pantun_9567,"Terbang serindit tuju seberang,",Singgah di padang di rumpun keladi;,"Bukannya ringgit dipandang orang,",Tapi memandang bahasa dan budi.
Pantun_9568,"Burung serindit terbang melayang,",Terhenti hinggap diranting mati;,"Pamirkan senyum manis dipandang,",Kerana ini menyejukkan hati.
Pantun_9569,"Burung serindit terbang berkawan,",Hinggap sebentar didahan mati;,"Akhlak baik ramai kawan,",Begitu mudah menabur budi.
Pantun_9570,"Burung serindit terbang melayang,",Terhenti hinggap di ranting mati;,"Punya wang ringgit ramai yang sayang,",Miskin kayap tiada yang perhati.
Pantun_9571,"Jangan dijolok sarang tempua,",Jatuh nanti bertabur sekeliling;,"Walaupun tidak kepada semua,",Terkadang ringgit jua dijeling.
Pantun_9572,"Menghalau beruk bermain di pantai,",Ombak kuat beralun di lautan;,"Kalau buruk kain dipakai,",Deme buat layan tak layan.
Pantun_9573,"Mendaki bukit membawa barang,",Barang dibawa dari Beranang;,"Bukan ringgit dipandang orang,",Hati yang mulia lagi dikenang.
Pantun_9574,"Burung serindit diranting mati,",Terbang melayang niat tak henti;,"Mengenang duit tujuan di hati,",Risau menginjak maruah diri.
Pantun_9575,"Merah bebenor epal masak,",Ayor kuning di dalam gelas;,"Malas belajor kenape pulak,",Bior rajin jangan pemalas.
Pantun_9576,"Orang kota datang bertamu,",Ke rumah desa Kampung Sialang;,"Belajarlah kita menuntut ilmu,",Demi masa hadapan gemilang.
Pantun_9577,"Mengikat janji sewaktu bertemu,",Pertalian erat kukuh selamanya;,"Manakan rugi menuntut ilmu,",Pengetahuan luas serlah cerdiknya.
Pantun_9578,"Sorong papan tarik papan,",Buah petai dalam perahu;,"Suruh makan laju jer kau makan,","Dah makan belajar, yg tak tahu jadi tahu."
Pantun_9579,"Ikan sepat dari serkat,",Makan seorang sambil berangan;,"Ilmu di dapat dikongsi berkat,",Di sayang org pahala berpanjangan.
Pantun_9580,"Mangga ditut dipangkal dahan,",Berbuah lagi tidakkan jemu;,"Ilmu dituntut satu kefardhuan,",Jahilkan pergi hikmah bertemu.
Pantun_9581,"Tuturnya santun buatku terleka,",Terasa berat menganggu fikiran;,"Belajar berpantun suka-suka,",Ikutlah syarat patuhi peraturan.
Pantun_9582,"Bersampan perahu kerumah nyonya,",Sayang cindai tepi perigi;,"Kalau tak tahu kita bertanya,",Sudah pandai berlajarlah lagi.
Pantun_9583,"Beli cuka jauh ke Banjar,",Terus ke Genting tempat saudara;,"Terima suka ditunjuk ajar,",Jangan melenting meninggi suara.
Pantun_9584,"Budak berkejar ke arah perahu,",Berebut anggur hijau merah;,"Baru belajar dah berlagak tahu,",Bila ditegur melenting marah.
Pantun_9585,"Pokok temu tumbuh sejajar,",Ditanah liat desa sempadan;,"Jangan jemu untuk belajar,",Selagi hayat dikandung badan.
Pantun_9586,"Pukul bedok di subuh hari,",Mentari bersinar tinggi se jengkal;,"Mencari ilmu setiap hari,",Agar menjadi insan berakal.
Pantun_9587,"Sepasang pekaka terbang berkejar,",Ke arah barat macam berkelahi;,"Suka-suka mahu belajar,",Peraturan syarat mesti dipatuhi.
Pantun_9588,"Tanam sejajar setinggi bahu,",Mawar cantik berbau wangi;,"Tidak belajar mana tahu,",Insan cerdik orang sayangi.
Pantun_9589,"Pergi kehutan menjerat rusa,",Jerat memakan diri sendiri;,"Hormati guru setiap masa,",Supaya berkat ilmu dipelajari.
Pantun_9590,"Pokok selasih ditepi pagar,",Sayang tiada siapa yang punya;,"Semua perkara harus belajar,",Supaya tahu buruk baiknya.
Pantun_9591,"Menjemur jamu didalam bijana,",Letak dianjung jatuh tergolek;,"Tuntutlah ilmu walau dimana,",Dunia dijunjung akhirat dikelek.
Pantun_9592,"Seri Langkat nama diberi,",Tempat bertemu sang pemburu;,"Asahkan bakat tonjolkan diri,",Hendak berilmu carilah guru.
Pantun_9593,"Lilau perahu celah seburu,",Tebing sejajar curam pinggiran;,"Kalau tak tahu carilah guru,",Rajin belajar tajam fikiran.
Pantun_9594,"Ayam katik terkejar-kejar,",Lari sejajar tuju perahu;,"Mari adik mari belajar,",Tidak belajar mana tahu.
Pantun_9595,"Burung pekaka tenggek di pagar,",Anak pepatung terbang ke tasik;,"Suka suka kita belajar,",Belajar pantun di sajian klasik.
Pantun_9596,"Rasa berdebar mengolah sukun,",Dini meluru menyimpan kendi;,"Kala belajar mestilah tekun,",Santuni guru sopan berbudi.
Pantun_9597,"Pulau sejajar telah ditemu,",Langgas senada sepakat dikir;,"Kalau belajar usahlah jemu,",Mencergas minda ligat berfikir.
Pantun_9598,"Padi semaian diguni lusuh,",Dijemur takut dimakan bena;,"Dari buaian sudah diasuh,",Tuntutlah ilmu walau kenegara China.
Pantun_9599,"Penat mengejar sakit lutut,",Berebut cempedak manis isinya;,"Pergi belajar memang dituntut,",Pandai tidak bukan soalnya.
Pantun_9600,"Anak ikan suka berlumba,",Selalu dibuat waktu pagi;,"Dalam belajar kita mencuba,",Andai gagal usahalah lagi.
Pantun_9601,"Kudup kuini sebelah titi,",Mekar sekata alih ke desa;,"Suka dan duka silih berganti,",Mengajar kita lebih dewasa.
Pantun_9602,"Bermain sojar tiasa lesi,",Tersimbah tauhu susu dirasa;,"Rajin belajar masa terisi,",Menambah tahu isu semasa.
Pantun_9603,"Gadis banjar dayung perahu,",Berbaju batik mahu ke mana;,"Sudah belajar semua tahu,",Hendak kritik biar membina.
Pantun_9604,"Buah pinang bawa belayar,",Buat dagang di pulau seberang;,"Susah senang kenalah belajar,",Dah besar tak susahkan orang.
Pantun_9605,"Ambil tebu ditepi rumah,",Cabut ubi bersama akar;,"Sedikit ilmu jika berhikmah,",Garam selaut jadi tawar.
Pantun_9606,"Tumbuh sejajar pohon keranji,",Di sebelahnya rapat pohon pulasan;,"Suka belajar amalan terpuji,",Janganlah cepat merasa bosan.
Pantun_9607,"Ingin belajar bahasa banjar,",Tata cara mesti sopan;,"Wajib ada minat belajar,",Tidak rugi dimasa hadapan.
Pantun_9608,"Buah cempedak di luor pagor,",Ambil guni tolong balutkan;,"Rajin tekun mahu belajor,",Malas belajor kita ketinggalan.
Pantun_9609,"Makan laksa diluar pagar,",Makan mee dalam bilik;,"Kalau kita suka belajar,",Benda susah tak pelik.
Pantun_9610,"Nyior bantut di hujung sana,",Tidaklah gayat dipetik tandan;,"Ilmu dituntut walau di mana,",Selagi hayat dikandung badan.
Pantun_9611,"Membeli minyak tak perlu berkejar,",Dijual merata di serata kedai;,"Semakin banyak kita belajar,",Tahulah kita yang kita tak pandai.
Pantun_9612,"Pilihan Jamu produk Banjar,",Ramuan kaya mutu dan rasa;,"Beroleh ilmu perlu belajar,",Baru berjaya nusa dan bangsa.
Pantun_9613,"Waktu pagi mengambil temu,",Cuaca redup hala ke barat;,"Tidak rugi menuntut ilmu,",Untuk bekalan dunia akhirat.
Pantun_9614,"Cuka-cuka beli dibandar,",Makanan sihat lagi berkat;,"Ilmu didapat harus disibar,",Hidup berkat dunia akhirat.
Pantun_9615,"Nangka-nangka usah runtun,",Bimbang keluang datang kejar;,"Suka-suka karang pantun,",Ada ruang untuk siar.
Pantun_9616,"Tumbuh sejajar pohon gaharu,",Hinggap merpati di dahan langsat;,"Kita belajar perlu berguru,",Tidak nanti akan tersesat.
Pantun_9617,"Jangan jemu Untuk bertanya,",Ilmu dipunya manfaatkan berguna;,"Menuntut ilmu wajib hukumnya,",Sekalipun jauhnya ke negeri cina.
Pantun_9618,"Budak lasak nyalakan api,",Bersama rakan halau serangga;,"Belajar masak tengok resepi,",Enak dimakan seisi keluarga.
Pantun_9619,"Tanam kemboja rapat rapat,",Agar tempat menjadi redup;,"Banyak belajar ilmu pun dapat,",Ilmu jadi bekalan hidup.
Pantun_9620,"Berkicau burung didahan rendang,",Cerah cuaca disinari mentari;,"Ilmu dicari maruah disandang,",Bekalan hidup kemudian hari.
Pantun_9621,"Teliti-teliti membeli durian,",Takut terkena buah yang muda;,"Hati-hati terima pujian,",Riak tak ke mana biarlah berpada.
Pantun_9622,"Berlari lari si anak kaldai,",Jatuh seekor dalam perigi;,"Jangan buat berlagak pandai,",Cari tok guru belajarlah lagi.
Pantun_9623,"Tidak bertemu sedih terharu,",Terganggu emosi dimasa sukar;,"Tuntutlah ilmu bersama guru,",Tiada aplikasi dapat ditukar.
Pantun_9624,"Sopan bersantun gadis Melaka,",Manis orangnya pandai bermadah;,"Belajar berpantun suka-suka,",Pastikan bahasanya sentiasa indah.
Pantun_9625,"Rai tetamu makan bersama,",Riang di sisi lupa segala;,"Menuntut limu tuntutan agama,",Boleh dikongsi berladang pahala.
Pantun_9626,"Cuka-cuka beli di bandar,",Simpan makan dalam perahu;,"Suka-suka mahu belajar,",Tidak belajar mana tahu.
Pantun_9627,"Memikat burung membawa jebak,",Hibur hati jiwa yang lara;,"Bersama kita perangi wabak,",Covid berkubur negara sejahtera.
Pantun_9628,"Lebarnya kain trepan,",Bila ditarik jangan sampai rabak;,"Mari bantu barisan hadapan,",Berusaha kita hapuskan wabak.
Pantun_9629,"Pergi menjala naik sampan,",Muatan penuh perahu perlahan;,"Hormati pertugas di barisan hadapan,",Bekerjasama ikut segala arahan.
Pantun_9630,"Kekal kita patuhi arahan dan amaran,",Supaya bahaya tidak merebak;,"Hargailah mereka yang sentiasa berkorban,",Bersama kita hapuskan wabak.
Pantun_9631,"Suaranya lemah meluah sesuatu,",Kenangan syawal mercun sepapan;,"Berkurung di rumah kita membantu,",Wabak dikawal di barisan hadapan.
Pantun_9632,"Bawa mencebak tanah ditambak,",Susun bata beralaskan papan;,"Semoga wabak berhenti merebak,",Doakan sihat barisan hadapan.
Pantun_9633,"Sulaman serban berbelang jingga,",Tekap pertama sebelah kanan;,"Bersama korban jiwa dan raga,",Terpisah lama bukan bebanan.
Pantun_9634,"Masak pulasan bawa kepekan,",Duku berbuah dibatu pahat;,"Akur arahan Demi kebaikan,",Duduk dirumah kekal sihat.
Pantun_9635,"Ke arah tambak menjeling menolih,",Anak tenok berlari ke paya;,"Selagi wabak belum pulih,",Tidak seronok berpuasa beraya.
Pantun_9636,"Pauh dilayang pohonnya tumbang,",Pokok berangan berhampiran reban;,"Keluarga disayang wabak dikekang,",Hulurkan tangan ringankan beban.
Pantun_9637,"Kisah lama ada sejarah,",Duduk beramai di dalam khemah;,"Jangan merayap tak tentu arah,",Elak penyakit dari terkena orang rumah.
Pantun_9638,"Kain rabak baju jarang,",Sangkut di dahan junjung petola;,"Semoga wabak covid beransur kurang,",Dengan keizinan dari Allah Taala.
Pantun_9639,"Sepiring nangka menu sarapan,",Nyonya menyua semangkuk aiskrim;,"Simpati mereka di baris hadapan,",Hanya doa mampu dikirim.
Pantun_9640,"Kemerah-merahan pokok di pamah,",Andai dipacak di depan sabak;,"Patuh arahan duduk di rumah,",Landai kemuncak jangkitan wabak.
Pantun_9641,"Perling di huma satu di batu,",Jatuh menepi separas tambak;,"Saling bersama bantu membantu,",Patuh PKP benteras wabak.
Pantun_9642,"Sungguh sayu rasanya hati,",Dikenang-kenang menjadi sebak;,"Bersama kita bersatu hati,",Bantu membantu hapuskan wabak.
Pantun_9643,"Di hujung dahan hinggap si burung,",Sambar temeras di dalam lopak;,"Ikut arahan perintah berkurung,",Bantu benteras sebaran wabak.
Pantun_9644,"Cantik bergaya jejaka dara,",Di balik pintu berdiri gagah;,"Wabak bahaya menyerang negara,",Kita bersatu menghalang mencegah.
Pantun_9645,"Panglima daik memegang tombak,",Kepada raja hendak disembah;,"Mengatur langkah mencegah wabak,",Barisan hadapan yang berhati tabah.
Pantun_9646,"Mekar sejambak bunga semalu,",Ungu seluruh nampaknya megah;,"Jangkitan wabak pasti berlalu,",Amal yang disuruh jauhi yang ditegah.
Pantun_9647,"Indahnya purnama bulan yang satu,",Menyinari ombak berkilau bercahaya;,"Kita bersama bantu-membantu,",Memerangi wabak yang sungguh bahaya.
Pantun_9648,"Mawar indah mawar berduri,",Petik setangkai harum semerbak;,"Jangan kita pentingkan diri,",Bantu lah mereka membasmi wabak.
Pantun_9649,"Bunga mawar wangi semerbak,",Cantik sekali penyeri pagi;,"Andai wabak terus merebak,",Kehidupan indah tiada lagi.
Pantun_9650,"Bunga harum kembang sekuntum,",Sayang kembang tidak lama;,"Perangi wabak bersatu kaum,",Paling utama perlu bekerjasama.
Pantun_9651,"Pergi berlapan memburu keluang,",Singgah di jalan menahan jebak;,"Barisan hadapan cekal berjuang,",Demi putuskan rantaian wabak.
Pantun_9652,"Pegang tombak acah kera,",Jalan kedepan bawa paha;,"Jangkitan wabak pintas segera,",Barusan hadapan kuatkan usaha.
Pantun_9653,"Sarat sampan membawa mengkuang,",Teratak Normah jadi singgahan;,"Barisan hadapan teguh berjuang,",Kita di rumah patuhi arahan.
Pantun_9654,"Setangan rakan diberi suri,",Sambil sapukan cangkir berubat;,"Jangan pentingkan diri sendiri,",Ambil tindakan fikir akibat.
Pantun_9655,"Berhari kini jadi siulan,",Namun mereka terus mara;,"Barisan hadapan penuh kecekalan,",Menggadai diri demi Negara.
Pantun_9656,"Sepak raga melambung ke perigi,",Riuh rendah tawa gelak;,"Jasa mereka disanjung tinggi,",Moga Allah balas disyurga kelak.
Pantun_9657,"Sawah merata di tanah jawa,",Tepian perigi rimbun celagi;,"Seia sekata sehati sejiwa,",Jayakan strategi wabak kan pergi.
Pantun_9658,"Bisa merebak dipatuk ular,",Tedong tersorok di balik papan;,"Tangani wabak terus menular,",Kurang beban barisan hadapan.
Pantun_9659,"Pergi kesawah digigit lintah,",Jari pula tertusuk duri;,"Marilah kita ikot perintah,",Arahan kerajaan jangan ingkari.
Pantun_9660,"Secermat antah menyatu corak,",Pulut di makan tanpa dipinta;,"Hormat perintah kawal bergerak,",Demi kebaikan rakyat jelata.
Pantun_9661,"Bantu membantu jangan lah malas,",Baru digelar rakyat berhemah;,"Barisan hadapan menjalankan tugas,",Tugas kita bantu duduk dirumah.
Pantun_9662,"Habis rebah serumpun lada,",Ditimpa dahan tepian rumah;,"Jangan menambah jangkitan yang ada,",Ikut arahan duduk di rumah.
Pantun_9663,"Di balik batu siburung tukang,",Hinggap di papan merenung tambak;,"Kita membantu dari belakang,",Barisan hadapan memerangi wabak.
